Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn);Middel av høye vindkastverdier (døgn)
Oslo - Blindern;SN18700;01.01.2014;2.4;5.8
Oslo - Blindern;SN18700;02.01.2014;2.9;5.7
Oslo - Blindern;SN18700;03.01.2014;3.3;6.4
Oslo - Blindern;SN18700;04.01.2014;2.6;6.8
Oslo - Blindern;SN18700;05.01.2014;2.7;5
Oslo - Blindern;SN18700;06.01.2014;2.5;5.4
Oslo - Blindern;SN18700;07.01.2014;3.8;7.4
Oslo - Blindern;SN18700;08.01.2014;1.6;4.4
Oslo - Blindern;SN18700;09.01.2014;2.4;4.1
Oslo - Blindern;SN18700;10.01.2014;1.7;5
Oslo - Blindern;SN18700;11.01.2014;3.8;5.8
Oslo - Blindern;SN18700;12.01.2014;2.4;5.8
Oslo - Blindern;SN18700;13.01.2014;3.5;5.4
Oslo - Blindern;SN18700;14.01.2014;4.8;8.6
Oslo - Blindern;SN18700;15.01.2014;4.2;7.3
Oslo - Blindern;SN18700;16.01.2014;5;9.1
Oslo - Blindern;SN18700;17.01.2014;5.9;10.3
Oslo - Blindern;SN18700;18.01.2014;5.7;9.7
Oslo - Blindern;SN18700;19.01.2014;5.4;9.9
Oslo - Blindern;SN18700;20.01.2014;4;7.7
Oslo - Blindern;SN18700;21.01.2014;4.1;6.8
Oslo - Blindern;SN18700;22.01.2014;3.8;7
Oslo - Blindern;SN18700;23.01.2014;3.3;5.7
Oslo - Blindern;SN18700;24.01.2014;2.7;5.7
Oslo - Blindern;SN18700;25.01.2014;3;6.6
Oslo - Blindern;SN18700;26.01.2014;3.1;5.3
Oslo - Blindern;SN18700;27.01.2014;5.3;9.8
Oslo - Blindern;SN18700;28.01.2014;4.3;7.9
Oslo - Blindern;SN18700;29.01.2014;5.3;9.8
Oslo - Blindern;SN18700;30.01.2014;5.3;9.8
Oslo - Blindern;SN18700;31.01.2014;3.5;6.3
Oslo - Blindern;SN18700;01.02.2014;4.1;7.8
Oslo - Blindern;SN18700;02.02.2014;2.7;6.6
Oslo - Blindern;SN18700;03.02.2014;3;7.3
Oslo - Blindern;SN18700;04.02.2014;2.7;5.6
Oslo - Blindern;SN18700;05.02.2014;2.5;3.6
Oslo - Blindern;SN18700;06.02.2014;2.8;6.1
Oslo - Blindern;SN18700;07.02.2014;2.5;4.8
Oslo - Blindern;SN18700;08.02.2014;1.6;4.2
Oslo - Blindern;SN18700;09.02.2014;2.8;5
Oslo - Blindern;SN18700;10.02.2014;3.7;8.2
Oslo - Blindern;SN18700;11.02.2014;2;4.6
Oslo - Blindern;SN18700;12.02.2014;3.7;7.2
Oslo - Blindern;SN18700;13.02.2014;3.1;7
Oslo - Blindern;SN18700;14.02.2014;3.7;8.2
Oslo - Blindern;SN18700;15.02.2014;4.5;8.7
Oslo - Blindern;SN18700;16.02.2014;2.5;7.7
Oslo - Blindern;SN18700;17.02.2014;1.5;4
